item_id,shop_id,shop_location,brand,sold_quantity,discount_price,original_price,discount,liked_count,rating_star,number_of_ratings,cluster
3036539166,11171175,TP. HO CHI MINH,XIAOMI,1013,1998000,3200000,0.42,15,4.714285714,14,2
7652250600,11171175,TP. HO CHI MINH,HTC,2489,1447000,1900000,0.24,14,4.555555556,9,0
4869252688,43748089,TP. HO CHI MINH,XIAOMI,1350,1999000,3000000,0.44,17,4.5,8,0
4750502802,11171175,TP. HO CHI MINH,SONY,895,1345000,2000000,0.33,13,4.5,8,0
8744137316,11171175,TP. HO CHI MINH,XIAOMI,705,749000,1100000,0.33,6,4.5,8,0
2973182146,110595666,HA NOI,SAMSUNG,162,1890000,2400000,0.24,97,5,45,2
7450502621,11171175,TP. HO CHI MINH,SONY,800,1298000,2000000,0.35,11,4.3,10,0
7555279530,48782032,TP. HO CHI MINH,SONY,205,2510000,2510000,0,3198,5,11,2
4810280001,89681009,HA NOI,SAMSUNG,43,3990000,5250000,0.25,253,5,27,1
5420779011,199422123,HA NOI,SONY,89,1250000,1250000,0,150,4.863636364,44,2
9757617980,48135204,HA NOI,VSMART,94,1999000,1999000,0,68,4.8,45,2
6450840211,91772591,HAI PHONG,LG,63,3699000,3699000,0,94,4.951219512,41,1
11524841197,449911630,TP. HO CHI MINH,SAMSUNG,309,4320000,5690000,0.24,204,4.978723404,141,1
12707097665,71474818,HA NOI,LG,111,2159100,2399000,0.1,77,4.761904762,63,2
4543817936,68527388,TP. HO CHI MINH,XIAOMI,116,2060000,2490000,0.17,108,4.814814815,55,2
7476089181,108110554,TP. HO CHI MINH,LG,2364,1850000,3700000,0.5,61,4.857142857,49,0
7976031644,108110554,TP. HO CHI MINH,SONY,1332,1579000,2700000,0.43,12,4.333333333,6,0
2938588580,8940655,HA NOI,GOOGLE,48,3790000,3790000,0,52,4.90625,32,1
8731050989,41470347,HA NOI,UNKNOWN,59,2450000,2450000,0,80,5,33,2
4008468985,189268414,HA NOI,SAMSUNG,137,3115000,3500000,0.11,13196,5,19,1
6518211480,70094786,TP. HO CHI MINH,XIAOMI,77,898000,1090000,0.18,72,4.964285714,28,2
6250521840,11171175,TP. HO CHI MINH,SAMSUNG,594,4998000,9500000,0.47,24,4.916666667,12,1
3205114964,58573345,TP. HO CHI MINH,ULEFONE,87,2990000,2990000,0,120,4.827586207,58,2
3947155875,58573345,TP. HO CHI MINH,OUKITEL,53,4290000,4290000,0,81,5,32,1
6586910000,188761968,NAM DINH,VSMART,43,2500000,2500000,0,91,5,28,2
6529063278,83158649,HA NOI,SONY,113,1150000,1150000,0,236,4.655172414,58,2
5776222552,108110554,TP. HO CHI MINH,SONY,1703,997000,1800000,0.46,20,4.769230769,13,0
6452378477,108110554,TP. HO CHI MINH,XIAOMI,206,1798000,3300000,0.46,10,5,5,2
6750985799,48135204,HA NOI,VSMART,42,2890000,2890000,0,38,4.935483871,31,2
5552372982,108110554,TP. HO CHI MINH,SAMSUNG,1995,848000,1398000,0.5,16,4.428571429,28,0
10720550181,41470347,HA NOI,GOOGLE,87,2750000,2750000,0,84,4.977777778,45,2
7258120583,143976140,TP. HO CHI MINH,GOOGLE,61,2652000,2652000,0,45,5,34,2
10701941401,53119718,TP. HO CHI MINH,SAMSUNG,45,9299000,9299000,0,22,5,24,1
8103129813,125969601,HA NOI,SAMSUNG,50,6599000,9900000,0.33,91,5,24,1
733841869,17376044,HA NOI,XIAOMI,67,1450000,1450000,0,497,4.857142857,35,2
6620480143,30580603,HA NOI,UNKNOWN,82,2200000,2200000,0,118,4.734693878,49,2
